Id,Street Name,Directions,Day,Time,avg(Num of Vehicle)
0,airport blvd,East,Friday,00:00:00,9.03773584906
1,airport blvd,East,Friday,01:00:00,10.0188679245
2,airport blvd,East,Friday,02:00:00,12.0
3,airport blvd,East,Friday,03:00:00,11.3018867925
4,airport blvd,East,Friday,04:00:00,9.71698113208
5,airport blvd,East,Friday,05:00:00,9.92452830189
6,airport blvd,East,Friday,06:00:00,9.83018867925
7,airport blvd,East,Friday,07:00:00,30.6037735849
8,airport blvd,East,Friday,08:00:00,54.1320754717
9,airport blvd,East,Friday,09:00:00,54.0188679245
10,airport blvd,East,Friday,10:00:00,30.1320754717
11,airport blvd,East,Friday,11:00:00,35.7358490566
12,airport blvd,East,Friday,12:00:00,35.2264150943
13,airport blvd,East,Friday,13:00:00,34.0188679245
14,airport blvd,East,Friday,14:00:00,34.6981132075
15,airport blvd,East,Friday,15:00:00,35.9245283019
16,airport blvd,East,Friday,16:00:00,29.0188679245
17,airport blvd,East,Friday,17:00:00,75.6037735849
18,airport blvd,East,Friday,18:00:00,29.7547169811
19,airport blvd,East,Friday,19:00:00,30.9622641509
20,airport blvd,East,Friday,20:00:00,29.5471698113
21,airport blvd,East,Friday,21:00:00,29.1320754717
22,airport blvd,East,Friday,22:00:00,30.5094339623
23,airport blvd,East,Friday,23:00:00,29.679245283
24,airport blvd,East,Monday,00:00:00,10.4615384615
25,airport blvd,East,Monday,01:00:00,8.67307692308
26,airport blvd,East,Monday,02:00:00,10.2307692308
27,airport blvd,East,Monday,03:00:00,8.69230769231
28,airport blvd,East,Monday,04:00:00,9.55769230769
29,airport blvd,East,Monday,05:00:00,9.94230769231
30,airport blvd,East,Monday,06:00:00,9.65384615385
31,airport blvd,East,Monday,07:00:00,30.4038461538
32,airport blvd,East,Monday,08:00:00,53.8846153846
33,airport blvd,East,Monday,09:00:00,55.0769230769
34,airport blvd,East,Monday,10:00:00,30.1730769231
35,airport blvd,East,Monday,11:00:00,35.3269230769
36,airport blvd,East,Monday,12:00:00,35.0384615385
37,airport blvd,East,Monday,13:00:00,35.8846153846
38,airport blvd,East,Monday,14:00:00,35.5769230769
39,airport blvd,East,Monday,15:00:00,34.9423076923
40,airport blvd,East,Monday,16:00:00,29.4807692308
41,airport blvd,East,Monday,17:00:00,74.7115384615
42,airport blvd,East,Monday,18:00:00,29.3269230769
43,airport blvd,East,Monday,19:00:00,30.5576923077
44,airport blvd,East,Monday,20:00:00,28.8461538462
45,airport blvd,East,Monday,21:00:00,30.6346153846
46,airport blvd,East,Monday,22:00:00,30.0384615385
47,airport blvd,East,Monday,23:00:00,29.4423076923
48,airport blvd,East,Saturday,00:00:00,10.6603773585
49,airport blvd,East,Saturday,01:00:00,9.7358490566
50,airport blvd,East,Saturday,02:00:00,9.58490566038
51,airport blvd,East,Saturday,03:00:00,9.09433962264
52,airport blvd,East,Saturday,04:00:00,10.8301886792
53,airport blvd,East,Saturday,05:00:00,9.90566037736
54,airport blvd,East,Saturday,06:00:00,10.5849056604
55,airport blvd,East,Saturday,07:00:00,28.6981132075
56,airport blvd,East,Saturday,08:00:00,54.8113207547
57,airport blvd,East,Saturday,09:00:00,54.8301886792
58,airport blvd,East,Saturday,10:00:00,29.4150943396
59,airport blvd,East,Saturday,11:00:00,34.679245283
60,airport blvd,East,Saturday,12:00:00,34.7547169811
61,airport blvd,East,Saturday,13:00:00,35.0566037736
62,airport blvd,East,Saturday,14:00:00,35.2452830189
63,airport blvd,East,Saturday,15:00:00,35.6226415094
64,airport blvd,East,Saturday,16:00:00,30.4716981132
65,airport blvd,East,Saturday,17:00:00,75.0
66,airport blvd,East,Saturday,18:00:00,28.8301886792
67,airport blvd,East,Saturday,19:00:00,27.9622641509
68,airport blvd,East,Saturday,20:00:00,30.3773584906
69,airport blvd,East,Saturday,21:00:00,30.5283018868
70,airport blvd,East,Saturday,22:00:00,31.8679245283
71,airport blvd,East,Saturday,23:00:00,30.4150943396
72,airport blvd,East,Sunday,00:00:00,11.2115384615
73,airport blvd,East,Sunday,01:00:00,9.75
74,airport blvd,East,Sunday,02:00:00,9.53846153846
75,airport blvd,East,Sunday,03:00:00,9.69230769231
76,airport blvd,East,Sunday,04:00:00,10.6153846154
77,airport blvd,East,Sunday,05:00:00,10.1346153846
78,airport blvd,East,Sunday,06:00:00,10.1538461538
79,airport blvd,East,Sunday,07:00:00,31.0576923077
80,airport blvd,East,Sunday,08:00:00,55.3461538462
81,airport blvd,East,Sunday,09:00:00,55.8461538462
82,airport blvd,East,Sunday,10:00:00,29.8653846154
83,airport blvd,East,Sunday,11:00:00,35.25
84,airport blvd,East,Sunday,12:00:00,35.6730769231
85,airport blvd,East,Sunday,13:00:00,35.7884615385
86,airport blvd,East,Sunday,14:00:00,35.3653846154
87,airport blvd,East,Sunday,15:00:00,36.5
88,airport blvd,East,Sunday,16:00:00,30.1730769231
89,airport blvd,East,Sunday,17:00:00,74.9807692308
90,airport blvd,East,Sunday,18:00:00,30.1538461538
91,airport blvd,East,Sunday,19:00:00,29.7884615385
92,airport blvd,East,Sunday,20:00:00,30.9038461538
93,airport blvd,East,Sunday,21:00:00,30.4038461538
94,airport blvd,East,Sunday,22:00:00,30.0
95,airport blvd,East,Sunday,23:00:00,31.5192307692
96,airport blvd,East,Thursday,00:00:00,9.42307692308
97,airport blvd,East,Thursday,01:00:00,11.3461538462
98,airport blvd,East,Thursday,02:00:00,9.65384615385
99,airport blvd,East,Thursday,03:00:00,9.13461538462
100,airport blvd,East,Thursday,04:00:00,11.1346153846
101,airport blvd,East,Thursday,05:00:00,11.0769230769
102,airport blvd,East,Thursday,06:00:00,10.6346153846
103,airport blvd,East,Thursday,07:00:00,29.3846153846
104,airport blvd,East,Thursday,08:00:00,55.9615384615
105,airport blvd,East,Thursday,09:00:00,54.0384615385
106,airport blvd,East,Thursday,10:00:00,30.6538461538
107,airport blvd,East,Thursday,11:00:00,34.5384615385
108,airport blvd,East,Thursday,12:00:00,34.9038461538
109,airport blvd,East,Thursday,13:00:00,34.9038461538
110,airport blvd,East,Thursday,14:00:00,36.6730769231
111,airport blvd,East,Thursday,15:00:00,35.25
112,airport blvd,East,Thursday,16:00:00,30.2692307692
113,airport blvd,East,Thursday,17:00:00,74.1346153846
114,airport blvd,East,Thursday,18:00:00,30.7307692308
115,airport blvd,East,Thursday,19:00:00,28.9423076923
116,airport blvd,East,Thursday,20:00:00,31.1538461538
117,airport blvd,East,Thursday,21:00:00,30.1538461538
118,airport blvd,East,Thursday,22:00:00,29.8846153846
119,airport blvd,East,Thursday,23:00:00,30.1346153846
120,airport blvd,East,Tuesday,00:00:00,7.88461538462
121,airport blvd,East,Tuesday,01:00:00,9.94230769231
122,airport blvd,East,Tuesday,02:00:00,8.88461538462
123,airport blvd,East,Tuesday,03:00:00,11.3653846154
124,airport blvd,East,Tuesday,04:00:00,9.53846153846
125,airport blvd,East,Tuesday,05:00:00,10.1346153846
126,airport blvd,East,Tuesday,06:00:00,8.94230769231
127,airport blvd,East,Tuesday,07:00:00,28.7115384615
128,airport blvd,East,Tuesday,08:00:00,56.2884615385
129,airport blvd,East,Tuesday,09:00:00,55.4230769231
130,airport blvd,East,Tuesday,10:00:00,29.3461538462
131,airport blvd,East,Tuesday,11:00:00,34.5576923077
132,airport blvd,East,Tuesday,12:00:00,34.0
133,airport blvd,East,Tuesday,13:00:00,35.6346153846
134,airport blvd,East,Tuesday,14:00:00,34.9423076923
135,airport blvd,East,Tuesday,15:00:00,34.8461538462
136,airport blvd,East,Tuesday,16:00:00,29.1346153846
137,airport blvd,East,Tuesday,17:00:00,75.5384615385
138,airport blvd,East,Tuesday,18:00:00,29.5192307692
139,airport blvd,East,Tuesday,19:00:00,30.4230769231
140,airport blvd,East,Tuesday,20:00:00,30.2307692308
141,airport blvd,East,Tuesday,21:00:00,29.8846153846
142,airport blvd,East,Tuesday,22:00:00,31.7884615385
143,airport blvd,East,Tuesday,23:00:00,30.0384615385
144,airport blvd,East,Wednesday,00:00:00,8.75
145,airport blvd,East,Wednesday,01:00:00,10.6153846154
146,airport blvd,East,Wednesday,02:00:00,12.1730769231
147,airport blvd,East,Wednesday,03:00:00,8.21153846154
148,airport blvd,East,Wednesday,04:00:00,9.09615384615
149,airport blvd,East,Wednesday,05:00:00,10.0576923077
150,airport blvd,East,Wednesday,06:00:00,11.6730769231
151,airport blvd,East,Wednesday,07:00:00,30.3846153846
152,airport blvd,East,Wednesday,08:00:00,55.8846153846
153,airport blvd,East,Wednesday,09:00:00,53.9615384615
154,airport blvd,East,Wednesday,10:00:00,30.0
155,airport blvd,East,Wednesday,11:00:00,34.75
156,airport blvd,East,Wednesday,12:00:00,35.5769230769
157,airport blvd,East,Wednesday,13:00:00,36.5384615385
158,airport blvd,East,Wednesday,14:00:00,36.9423076923
159,airport blvd,East,Wednesday,15:00:00,34.8076923077
160,airport blvd,East,Wednesday,16:00:00,29.1346153846
161,airport blvd,East,Wednesday,17:00:00,74.2115384615
162,airport blvd,East,Wednesday,18:00:00,30.2307692308
163,airport blvd,East,Wednesday,19:00:00,28.9230769231
164,airport blvd,East,Wednesday,20:00:00,29.5
165,airport blvd,East,Wednesday,21:00:00,30.4423076923
166,airport blvd,East,Wednesday,22:00:00,29.3076923077
167,airport blvd,East,Wednesday,23:00:00,29.9423076923
168,airport blvd,West,Friday,00:00:00,9.15094339623
169,airport blvd,West,Friday,01:00:00,9.77358490566
170,airport blvd,West,Friday,02:00:00,11.0943396226
171,airport blvd,West,Friday,03:00:00,10.4150943396
172,airport blvd,West,Friday,04:00:00,10.7735849057
173,airport blvd,West,Friday,05:00:00,10.9245283019
174,airport blvd,West,Friday,06:00:00,10.5094339623
175,airport blvd,West,Friday,07:00:00,29.2452830189
176,airport blvd,West,Friday,08:00:00,76.8301886792
177,airport blvd,West,Friday,09:00:00,74.7547169811
178,airport blvd,West,Friday,10:00:00,30.3396226415
179,airport blvd,West,Friday,11:00:00,33.7169811321
180,airport blvd,West,Friday,12:00:00,35.1886792453
181,airport blvd,West,Friday,13:00:00,33.7924528302
182,airport blvd,West,Friday,14:00:00,36.0377358491
183,airport blvd,West,Friday,15:00:00,36.2830188679
184,airport blvd,West,Friday,16:00:00,29.679245283
185,airport blvd,West,Friday,17:00:00,56.6037735849
186,airport blvd,West,Friday,18:00:00,30.4905660377
187,airport blvd,West,Friday,19:00:00,29.0
188,airport blvd,West,Friday,20:00:00,30.3396226415
189,airport blvd,West,Friday,21:00:00,30.2075471698
190,airport blvd,West,Friday,22:00:00,31.6226415094
191,airport blvd,West,Friday,23:00:00,28.5094339623
192,airport blvd,West,Monday,00:00:00,10.9423076923
193,airport blvd,West,Monday,01:00:00,10.9807692308
194,airport blvd,West,Monday,02:00:00,11.25
195,airport blvd,West,Monday,03:00:00,10.1346153846
196,airport blvd,West,Monday,04:00:00,10.5576923077
197,airport blvd,West,Monday,05:00:00,9.53846153846
198,airport blvd,West,Monday,06:00:00,9.92307692308
199,airport blvd,West,Monday,07:00:00,29.1923076923
200,airport blvd,West,Monday,08:00:00,75.3653846154
201,airport blvd,West,Monday,09:00:00,75.4423076923
202,airport blvd,West,Monday,10:00:00,30.4038461538
203,airport blvd,West,Monday,11:00:00,34.8653846154
204,airport blvd,West,Monday,12:00:00,34.5192307692
205,airport blvd,West,Monday,13:00:00,35.5384615385
206,airport blvd,West,Monday,14:00:00,33.6153846154
207,airport blvd,West,Monday,15:00:00,35.1153846154
208,airport blvd,West,Monday,16:00:00,30.7115384615
209,airport blvd,West,Monday,17:00:00,55.6538461538
210,airport blvd,West,Monday,18:00:00,30.1153846154
211,airport blvd,West,Monday,19:00:00,28.6730769231
212,airport blvd,West,Monday,20:00:00,29.4038461538
213,airport blvd,West,Monday,21:00:00,30.1153846154
214,airport blvd,West,Monday,22:00:00,29.9038461538
215,airport blvd,West,Monday,23:00:00,28.6538461538
216,airport blvd,West,Saturday,00:00:00,11.0188679245
217,airport blvd,West,Saturday,01:00:00,10.7169811321
218,airport blvd,West,Saturday,02:00:00,11.8679245283
219,airport blvd,West,Saturday,03:00:00,10.8301886792
220,airport blvd,West,Saturday,04:00:00,9.32075471698
221,airport blvd,West,Saturday,05:00:00,9.15094339623
222,airport blvd,West,Saturday,06:00:00,10.3773584906
223,airport blvd,West,Saturday,07:00:00,31.3396226415
224,airport blvd,West,Saturday,08:00:00,74.4528301887
225,airport blvd,West,Saturday,09:00:00,76.0188679245
226,airport blvd,West,Saturday,10:00:00,30.0
227,airport blvd,West,Saturday,11:00:00,35.8490566038
228,airport blvd,West,Saturday,12:00:00,36.9433962264
229,airport blvd,West,Saturday,13:00:00,35.5283018868
230,airport blvd,West,Saturday,14:00:00,35.320754717
231,airport blvd,West,Saturday,15:00:00,34.679245283
232,airport blvd,West,Saturday,16:00:00,30.0943396226
233,airport blvd,West,Saturday,17:00:00,53.358490566
234,airport blvd,West,Saturday,18:00:00,29.0754716981
235,airport blvd,West,Saturday,19:00:00,29.7735849057
236,airport blvd,West,Saturday,20:00:00,30.0377358491
237,airport blvd,West,Saturday,21:00:00,30.5660377358
238,airport blvd,West,Saturday,22:00:00,30.6981132075
239,airport blvd,West,Saturday,23:00:00,28.5471698113
240,airport blvd,West,Sunday,00:00:00,10.5576923077
241,airport blvd,West,Sunday,01:00:00,10.3076923077
242,airport blvd,West,Sunday,02:00:00,10.4230769231
243,airport blvd,West,Sunday,03:00:00,9.73076923077
244,airport blvd,West,Sunday,04:00:00,11.4038461538
245,airport blvd,West,Sunday,05:00:00,9.63461538462
246,airport blvd,West,Sunday,06:00:00,8.76923076923
247,airport blvd,West,Sunday,07:00:00,29.4230769231
248,airport blvd,West,Sunday,08:00:00,74.6923076923
249,airport blvd,West,Sunday,09:00:00,74.1730769231
250,airport blvd,West,Sunday,10:00:00,30.8461538462
251,airport blvd,West,Sunday,11:00:00,35.0192307692
